evening indoor mobility,day,uid
0.169162605,149,u00
0.029001847,150,u00
0,151,u00
0.202926619,86,u51
0.104366566,87,u51
0.195626807,88,u51
0.243397985,89,u51
0.063709246,90,u51
0.028787101,91,u51
0.097241222,92,u51
0.038844622,94,u51
0.120067157,95,u51
0.042140121,96,u51
0.049628699,97,u51
0.088931851,98,u51
0.017656274,99,u51
0.114663727,100,u51
0.061554911,101,u51
0.067907239,102,u51
0.094044832,103,u51
0.035436944,104,u51
0.029802302,105,u51
0.114216867,106,u51
0.060698105,107,u51
0.02376295,108,u51
0,109,u51
0.026943185,110,u51
0.106771654,111,u51
0.044403652,112,u51
0.037890562,113,u51
0.07498144,114,u51
0.165552619,115,u51
0.01419891,116,u51
0.021479002,117,u51
0.030072299,118,u51
0,119,u51
0.011568963,120,u51
0.039473948,122,u51
0.13539516,123,u51
0.257410595,124,u51
0.026506774,125,u51
0,126,u51
0.046212151,127,u51
0.060526316,129,u51
0.154237022,130,u51
0.066075619,131,u51
0.051767956,132,u51
0.030228104,133,u51
0.044072034,134,u51
0.034938078,135,u51
0.060422834,136,u51
0.031507532,137,u51
0.070302135,138,u51
0.108556313,140,u51
0.00097704,141,u51
0.06292183,142,u51
0.021276596,143,u51
0.005081954,144,u51
0.055793012,145,u51
0,147,u51
0.015392925,148,u51
0.013464801,149,u51
0.099232311,150,u51
0.061986041,151,u51
0.011401702,86,u12
0.009237362,87,u12
0.041218682,88,u12
0.010605963,89,u12
0.000816156,90,u12
0.017005279,91,u12
0.000911294,92,u12
0.014555603,93,u12
0.012250118,94,u12
0.060050008,95,u12
0.000942086,96,u12
0.071934747,97,u12
0.063996092,98,u12
0.025300551,99,u12
0.000916461,100,u12
0.030330882,102,u12
0.006295498,103,u12
0.00037325,104,u12
0.002081422,105,u12
0.001403335,106,u12
0.013360762,107,u12
0.014027103,109,u12
0.001332938,110,u12
0.000506626,111,u12
0.004550304,113,u12
0.006373317,114,u12
0.020291668,115,u12
0.016849799,116,u12
0.016642005,117,u12
0.082307079,118,u12
3.95E-05,121,u12
0.000723982,122,u12
0.022030033,123,u12
0.000527627,124,u12
0.005450367,125,u12
0.004595182,126,u12
0.023837209,128,u12
0.001986396,129,u12
0.018367694,130,u12
0.037439586,132,u12
0.013940156,133,u12
0.077291996,134,u12
0.000115824,135,u12
0.272712965,136,u12
0.05758226,137,u12
0.040416166,138,u12
0.008993219,139,u12
0.021918577,140,u12
0.001555415,141,u12
0.01873782,142,u12
0.020461406,143,u12
0.118671747,144,u12
0.018136455,145,u12
0.041007396,146,u12
0.007912846,147,u12
0.006063681,148,u12
0.004817465,150,u12
0.022651781,86,u07
0.080872586,87,u07
0.14562212,88,u07
0.11488102,89,u07
0.016932938,90,u07
0.034385629,91,u07
0.098101566,92,u07
0.131640136,93,u07
0.094205777,94,u07
0,98,u07
0.007930297,99,u07
0.032747148,100,u07
0.018534909,101,u07
0.025096078,102,u07
0.121123596,103,u07
0.073238603,104,u07
0.112027765,105,u07
0.078274501,106,u07
0.05118298,107,u07
0.011809235,108,u07
0.140856361,109,u07
0.032934977,110,u07
0.060807019,111,u07
0.014356766,112,u07
0.016747338,113,u07
0,114,u07
0.023563921,115,u07
0.001020656,116,u07
0.01209097,117,u07
0.049404211,118,u07
0.14337426,119,u07
0.031029042,120,u07
0.011802426,121,u07
0.021636372,122,u07
0,123,u07
0.06909823,124,u07
0,125,u07
0.043601392,126,u07
0.132799739,127,u07
0,129,u07
0,130,u07
0.06985616,131,u07
